company,idea,industry,subindustry,tags
Theorem,Program verification so even your systems engineers can vibecode,B2B,"B2B -> Engineering, Product and Design",Machine Learning
Thera,AI-Native Finance OS,B2B,B2B,Artificial Intelligence|Fintech|B2B|Payroll|Cryptocurrency
Therify,Inclusive mental healthcare for companies,B2B,B2B -> Human Resources,
Theseus,GPS Denied Navigation for Drones,Industrials,Industrials -> Drones,Robotics|Drones|Defense
Thesis,Autonomous AI research,B2B,B2B,Hard Tech|Machine Learning|Automation|AI
Theta,Specialized AI for Every Job,B2B,B2B,Artificial Intelligence|Reinforcement Learning|B2B
Theya,The world's simplest Bitcoin self-custody solution,Fintech,Fintech -> Consumer Finance,Fintech|Crypto / Web3|Consumer|Neobank
ThinAir,Intelligent data security for teams,B2B,B2B -> Security,Cybersecurity|Enterprise
Third Chair,AI-Native IP Enforcement Agent,B2B,B2B -> Legal,
Thndr,Investment platform for MENA individuals,Fintech,Fintech,Fintech
Thomas,The first AI founder: a virtual human who runs his own companies.,B2B,B2B,
Thorntale,"The world's best presentation editor, powered by AI.",B2B,B2B -> Productivity,Artificial Intelligence|SaaS|Consumer|B2B|Productivity
Thread,"Thread makes it incredibly easy to dress well, using stylists and AI",Consumer,Consumer -> Home and Personal,E-commerce|Retail|Fashion
Thrive Agric,"ThriveAgric help Farmers in Africa access finance, insight and Markets",Industrials,Industrials -> Agriculture,Finance|Agriculture
throxy,"Vertical AI agents running B2B outbound on autopilot, with human SDRs",B2B,B2B -> Sales,Artificial Intelligence|B2B|Sales|Automation
Thunder Compute,VMware for GPUs,B2B,B2B -> Infrastructure,Developer Tools|Data Science|Cloud Computing|Infrastructure|AI
Thunderpod,Community Engagement Platform,B2B,B2B,SaaS|Community
Thunkable,Thunkable is the no-code platform to build powerful native mobile apps,B2B,B2B -> Marketing,Developer Tools|SaaS|Design Tools
Thyme,The OS for financial advisors,B2B,B2B -> Finance and Accounting,Artificial Intelligence|Fintech|Finance
Ticket Wallet,AI-optimized ticket resale,B2B,B2B,
Tienda Crypto,Crypto Exchange and Payment API Gateway,Fintech,Fintech -> Banking and Exchange,Fintech|Crypto / Web3
TigerEye,AI for Construction,Real Estate and Construction,Real Estate and Construction -> Construction,Artificial Intelligence|SaaS|Construction
Tilt,Bringing the joy of cycling to millions of Indians,Consumer,Consumer,Hardware|Consumer|Fitness|India|Mobility
Tilt (f.k.a. Delphia),GitHub for Investment Methodology,Fintech,Fintech -> Consumer Finance,Fintech|Machine Learning|AI
Tinfoil,Encrypted AI with verifiable privacy,B2B,B2B -> Security,Artificial Intelligence|Developer Tools|Security|Privacy|Cloud Computing
Tingles,Find content that helps you relax and fall asleep.,Consumer,Consumer -> Content,Sleep Tech
Tinker,Digital Currency Market Making,Fintech,Fintech -> Asset Management,Crypto / Web3
Tint,Makes it easy for tech platforms to embed insurance into products,Fintech,Fintech -> Insurance,Artificial Intelligence|Developer Tools|Fintech
Tiny,A new kind of ERP system for factories,B2B,B2B,SaaS|B2B|Workflow Automation|Manufacturing|Enterprise Software
Tipe,"Open-source, customizable, headless CMS",B2B,B2B -> Infrastructure,Open Source
Tipjoy,social micropayments,Fintech,Fintech -> Payments,Payments|Social
Tiptap,The open-source document editor for humans and AI agents.,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools|Open Source
Tire Swing,AI Compliance for Affordable Housing,B2B,B2B -> Legal,GovTech|Real Estate|Housing|Compliance|Legal
Tiriel AI,The AI workforce for freight dispatch,B2B,B2B -> Supply Chain and Logistics,Logistics|Supply Chain|Transportation|AI
Titipku,Super Hyperlocal Marketplace for SMEs in Indonesia,Consumer,Consumer,Grocery|Marketplace|Delivery
Tivara,The AI workforce for medical groups,Healthcare,Healthcare,Artificial Intelligence|SaaS|B2B|Healthcare
Tizeti,ISP for Africa,Consumer,Consumer -> Home and Personal,Telecommunications
ToDesktop,All-in-one platform for building & releasing desktop apps,B2B,"B2B -> Engineering, Product and Design",SaaS|B2B
Todos Comemos,Taking from 1 to 100 the premade food industry in LATAM,Consumer,Consumer -> Food and Beverage,B2B|Logistics|E-commerce|Food Tech
Together Software,Learn from the experts at your company.,B2B,B2B -> Human Resources,SaaS
Together Video Chat,Interactive video chat made for kids and families,Consumer,Consumer -> Home and Personal,Education|Entertainment|Gaming
Token Transit,Complete fare payment platform for public transportation,Other,Government,Fintech|GovTech|Transportation
Toko,Learn English by speaking with an AI,Education,Education,AI-Enhanced Learning|Education|Generative AI|Machine Learning|Consumer
Toku,Account Receivables Platform for Latin American Enterprises,B2B,B2B -> Finance and Accounting,FinOps|Fintech|SaaS|Payments|Subscriptions
Tola,"The simple, fast and free tool for businesses to pay and get paid",Fintech,Fintech -> Payments,Fintech|SaaS
Tolemi,Data integration & insights for state and local governments,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Civic Tech|GovTech
Toma,AI for Underserved Industries,B2B,B2B -> Operations,Marketing|Customer Support|AI|Automotive|Conversational AI
Toolify,Build internal tools with AI,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools|B2B
Toothy AI,AI for insurance verification & billing at dental clinics,Healthcare,Healthcare -> Healthcare IT,Artificial Intelligence|Health Tech|Healthcare|Dental|Conversational AI
Top Road,Payments & analytics for apps in the OpenAI GPT Store,Fintech,Fintech -> Payments,Fintech|Generative AI|Payments|Analytics|AI
Topline Pro,Generative AI powered Shopify for home service professionals,B2B,B2B -> Operations,SaaS
Topo,All-in-one AI platform for outbound sales,B2B,B2B -> Sales,SaaS|Sales|AI
Topological,Physics-based foundation models for CAD optimization.,B2B,"B2B -> Engineering, Product and Design",Reinforcement Learning|Robotics|Design Tools|3D Printing|AI
Topship,Flexport for African Merchants - Building the OS for Global Logistics,B2B,B2B -> Supply Chain and Logistics,B2B|Logistics|E-commerce|Supply Chain
Tornyol,We build micro-drones that kill mosquitoes.,Consumer,Consumer -> Consumer Electronics,Hardware|Robotics|Drones
Torpedo Therapeutics,"High-precision, closed-loop neuromodulation devices",Healthcare,Healthcare -> Medical Devices,Neurotechnology|Medical Devices|Biotech
Torus,Legora for physical engineering firms,Industrials,Industrials,Construction|Energy|Enterprise Software|AI|Industrial
Totalis,derivative layer for prediction markets,Fintech,Fintech -> Consumer Finance,
Touch and Pay Technologies Limited,Digitizing and processing Microtransactions in Africa,Fintech,Fintech -> Payments,Fintech|Payments
Touchmark,Market for future inference capacity,B2B,B2B -> Infrastructure,Artificial Intelligence|Infrastructure
Touchy,AI iOS assistant that instantly uses voice and video to take action,Consumer,Consumer,Consumer|Productivity|AI|AI Assistant
Tough Commerce,Shopify for construction.,Real Estate and Construction,Real Estate and Construction -> Construction,B2B|E-commerce
Tovala,A smart-oven-paired subscription meal service.,Consumer,Consumer -> Home and Personal,Food & Beverage
TovenAI,AI agents for compliance at institutional trading firms,Fintech,Fintech -> Banking and Exchange,Artificial Intelligence|Fintech|Compliance|Regtech
Tower,M&A due diligence platform powered by AI,B2B,B2B -> Legal,Artificial Intelligence|Workflow Automation|Legal|LegalTech|AI Assistant
tpaga,First financial Superapp of Latin America,Fintech,Fintech -> Payments,Banking as a Service|Fintech
TRAC,An end to end timing solution for any scale athletic event.,Healthcare,Healthcare -> Consumer Health and Wellness,Sports Tech
Trace,Context-aware orchestration between humans and AI.,B2B,B2B -> Productivity,SaaS|B2B|Productivity|Enterprise Software|AI
Tracecat,The open source AI-native security automation platform,B2B,B2B -> Security,Security|Open Source|Enterprise|Automation|AI
Traceforce,Securing AI native apps directly on devices,B2B,B2B -> Security,Artificial Intelligence|SaaS|Security|Cybersecurity|Enterprise
Traceloop,Know what your LLM is doing - and why it's failing,B2B,B2B,Developer Tools|Generative AI|SaaS|Open Source
Tracer,Combining open-source AI models for better answers at lower cost,B2B,B2B,Machine Learning|Open Source|AI
TraceRoot.AI,Open source self-improving layer for AI agents,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools|Infrastructure
Traces,Transform your video monitoring with AI,B2B,B2B -> Security,Artificial Intelligence|Deep Learning|Computer Vision
Trackingplan,Automated QA for your Digital Analytics,B2B,B2B -> Analytics,SaaS|Analytics|Data Engineering
Trackstar,Plaid for supply chain logistics,B2B,B2B -> Supply Chain and Logistics,SaaS|B2B|Logistics|Supply Chain
Tractian,Physical AI for asset-heavy industries,Industrials,Industrials,SaaS|IoT|B2B|Operations|AI
Trade,We're building Africa's Commodity Exchange.,Industrials,Industrials -> Agriculture,Logistics|Supply Chain
TradeFlow,AI-powered settlement for financial securities,Fintech,Fintech,FinOps|Fintech|SaaS|B2B|AI
TrainLoop,Reasoning Fine-Tuning,B2B,"B2B -> Engineering, Product and Design",Developer Tools|Generative AI|Reinforcement Learning
Trainy,Infrastructure for managing GPU clusters for training/serving.,B2B,B2B,Developer Tools|Machine Learning|SaaS|Infrastructure
Tranch,Tranch is the invoice to payments platform for enterprises.,Fintech,Fintech -> Payments,Fintech|SaaS
Tranqui Finanzas,Debt Management for Latin America.,Fintech,Fintech -> Credit and Lending,Fintech
TransAstra Corporation,"Orbital logistics: Unleashing space industry, from Earth to asteroids",Industrials,Industrials -> Aviation and Space,Space Exploration
Transcriptic,The robotic cloud laboratory for the life sciences.,Healthcare,Healthcare -> Healthcare Services,Robotics|Biotech
Transfez,Brex for small businesses in Indonesia,Fintech,Fintech -> Payments,Fintech|SaaS|Neobank
transload,Measure freight with security cameras,B2B,B2B -> Supply Chain and Logistics,
Trapeze,AI-native Zocdoc,Healthcare,Healthcare -> Healthcare IT,
Trata,AI-powered research desk for hedge funds,B2B,B2B -> Finance and Accounting,Artificial Intelligence|Finance|B2B|Community|Investing
Trava,AI agents for global trade compliance,B2B,B2B -> Supply Chain and Logistics,Generative AI|B2B|Compliance|Logistics|Supply Chain
Traversal Networks,"Enterprise Threat Detection: Tuning, Triage, and Analysis by Experts.",B2B,B2B -> Security,Cybersecurity
Traverse,Research lab solving non-verifiable work,B2B,B2B,Machine Learning|Reinforcement Learning|AI
Traverse Technologies,AI driven professional engineering firm,B2B,B2B -> Operations,Robotic Process Automation|B2B|Climate|Energy|Renewable Energy
Travo,The brokerage that never sleeps,Real Estate and Construction,Real Estate and Construction,
Treasury Prime,Embedded banking software platform and marketplace,Fintech,Fintech -> Banking and Exchange,Banking as a Service|Fintech|B2B|API
treble.ai,We help companies scale marketing campaigns through WhatsApp,B2B,B2B -> Marketing,Messaging|Marketing|Automation
Treinta,Software and AI tools for SMBs in the US and Latin America,B2B,B2B -> Productivity,Artificial Intelligence|Subscriptions
Trela,Your one-stop shop to eat well in Brazil,Consumer,Consumer,Grocery|Marketplace
Trelium,The Agent to Build Your Agents,B2B,B2B,B2B|Workflow Automation|AI
Trellis,Agents that run short-term rental operations end-to-end,B2B,B2B -> Operations,
Trellis AI,Accelerate Medication Access with AI,B2B,B2B,B2B|Data Engineering|Infrastructure|AI|Databases
Trellus,Real-time sales coach for SDRs,B2B,B2B -> Sales,AI-Enhanced Learning|Artificial Intelligence|SaaS|B2B|Sales
Tremendous,"How businesses send money to people at scale. Fast, free, global.",Fintech,Fintech -> Payments,Fintech|Payments
Tremor,The UI toolkit for Dashboards,B2B,"B2B -> Engineering, Product and Design",Data Visualization|Web Development
Trendex - Connect with stars,Bringing fans closer to the world's greatest athletes,Consumer,Consumer,Sports Tech
Trendpop,Discover trends as they happen,B2B,B2B -> Analytics,Analytics|Social Media|Music|Creator Economy
Trestle Biotherapeutics,Bioengineered kidneys for patients with kidney failure,Healthcare,Healthcare -> Industrial Bio,Biotech
Trexo Robotics,"Exoskeletons to help people walk, starting with children",Healthcare,Healthcare -> Medical Devices,Medical Robotics
Tributi,Tax filing automation for individuals in Latam.,Consumer,Consumer -> Home and Personal,Fintech
Trident,Autonomous offensive security agents. The best defense is offense,B2B,B2B -> Security,Artificial Intelligence|Security|Cybersecurity
Trident Bioscience,Accelerating protein engineering.,Healthcare,Healthcare -> Drug Discovery and Delivery,Hard Tech|Machine Learning
Trieve,"All-in-one API for search, RAG, & recommendations",B2B,B2B -> Infrastructure,Developer Tools|Open Source|API|Search|AI
Trigger,Better PhoneGap.,B2B,"B2B -> Engineering, Product and Design",
Trigger.dev,Build and deploy fully‐managed AI agents and workflows,B2B,"B2B -> Engineering, Product and Design",Developer Tools|SaaS|B2B|Open Source|AI
Trigo,Rent verification API for landlords and lenders,Fintech,Fintech -> Credit and Lending,Fintech|B2B|Proptech|API|Enterprise
trii,One stop investment solution for retail investors in Latam,Fintech,Fintech -> Banking and Exchange,Fintech
Trim,A foundation model for physics.,B2B,"B2B -> Engineering, Product and Design",AI
Triomics,AI Agents for Oncology EHRs,Healthcare,Healthcare -> Healthcare Services,Healthcare|Healthcare IT
Triplebyte,Intelligent technical hiring.,B2B,B2B -> Recruiting and Talent,SaaS
Triplit,The best database for app developers,B2B,"B2B -> Engineering, Product and Design",Developer Tools|SaaS|Web Development|Cloud Computing|Databases
Triply,Operating system for travel businesses in Africa with embedded finance,B2B,B2B -> Operations,Fintech|Marketplace|SaaS|Travel
TRM Labs,TRM is building a safer world for billions of people.,B2B,B2B -> Security,Fintech|Machine Learning|GovTech|Cybersecurity|Data Engineering
Trope,AI FDE that deploys custom AI agents into ERPs,B2B,B2B,Artificial Intelligence|SaaS|B2B
True Link,Financial Services for Financial Caregivers.,Fintech,Fintech,Fintech
True3D,Building the next generation of visual media,B2B,B2B -> Infrastructure,Artificial Intelligence|Video|Media|Infrastructure
Truebill,Live your best financial life,Fintech,Fintech -> Consumer Finance,Fintech
TrueBiz,Instant Background Checks for Businesses,B2B,B2B -> Operations,Fintech|B2B|Identity|Regtech
TrueClaim,"Transparent, AI-powered healthcare TPA.",Healthcare,Healthcare,
truemetrics,We show couriers where to park and enter a building.,B2B,B2B -> Supply Chain and Logistics,Artificial Intelligence|Delivery|Logistics|ML
TrueNorth,TrueNorth gives truckers a single place to manage their business.,B2B,B2B -> Supply Chain and Logistics,Fintech|SaaS|Logistics
Truepill,API-connected healthcare infrastructure.,Healthcare,Healthcare -> Healthcare IT,Consumer Health Services
Trueplace,AI to prepare you for the future,B2B,B2B,
TrueVault,We make Privacy Software for SMBs.,B2B,B2B,Privacy
Truewind,AI-Powered Accounting,B2B,B2B -> Finance and Accounting,Fintech|Generative AI|SaaS|B2B|AI
Truffle AI,AWS for AI Agents,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools|Generative AI|Infrastructure|AI Assistant
Truora,Reliable background checks & fraud prevention tools for Latin America.,B2B,B2B -> Operations,SaaS|Fraud Prevention
Truss,Banking for construction,Fintech,Fintech -> Banking and Exchange,Fintech|Payments|Construction
TrustEgg,Trust funds.,Fintech,Fintech -> Asset Management,Finance|Investing
Trusty,Limitless Real Estate,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Marketplace|Real Estate|Consumer|B2B|Proptech
truthsystems,Automatically blocking risky behavior with real-time governance agents,B2B,B2B -> Infrastructure,Artificial Intelligence|B2B
Truva,Sell more. Grind less with AI agents.,B2B,B2B -> Marketing,Artificial Intelligence|B2B|Sales|Sales Enablement|Conversational AI
TryNearby,Local creators for local businesses,B2B,B2B -> Marketing,Restaurant Tech|Marketing|Creator Economy|SMB
Trébol,"Your back-office, on autopilot",B2B,B2B -> Finance and Accounting,Fintech|SaaS|B2B|Legal|Enterprise
Tsenta,AI career agent that finds matching jobs and applies for you,Consumer,Consumer -> Job and Career Services,Artificial Intelligence|Marketplace|Consumer|Recruiting|HR Tech
Tsumobi,Messaging.,Consumer,Consumer -> Social,Messaging
Tuesday Labs,Delightful robots,Consumer,Consumer -> Consumer Electronics,Robotics|Consumer|Gaming|Electronics|AI
Tule,Help farmers make irrigation decisions with sensors / computer vision,Industrials,Industrials -> Agriculture,Cellular Agriculture|Machine Learning|IoT
Tuli Health,Transforming pharmacies in the UK into diagnostic centers,Healthcare,Healthcare,SaaS|Telemedicine|Primary Care
Tupelo,Marketplace for small business M&A,B2B,B2B -> Finance and Accounting,Fintech|Marketplace
Turing College,AI-driven online tech school for busy professionals,Education,Education,Education
Turing Labs Inc.,AI for R&D of consumer brands like P&G to develop better products,B2B,B2B -> Retail,Artificial Intelligence|B2B
Turion Space,"Moving Things Around in Space, Imaging Space Objects When We're Not",Industrials,Industrials -> Aviation and Space,Space Exploration|Satellites
Turnstone,Work with agents that already know you,B2B,B2B,Artificial Intelligence
Turntable,AI-native operating system for analytics teams,B2B,B2B -> Analytics,
Tusk,AI agent that generates unit and integration tests,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools|Open Source
Tutorspree,Online tutoring marketplace.,Education,Education,Education|Marketplace
Tuva Health,Open source software that cleans and transforms messy healthcare data.,Healthcare,Healthcare -> Healthcare IT,SaaS|B2B|Digital Health
Tuxebo,Online marketplace for equipment rental,Real Estate and Construction,Real Estate and Construction,Marketplace|Construction
Tweeks.io,Lovable for Chrome Plugins,B2B,B2B -> Recruiting and Talent,Artificial Intelligence|Consumer|AI
Twenty,Open Source CRM,B2B,B2B,SaaS|B2B|Open Source|Sales|CRM
TwentyTwo,AI infrastructure for biosecurity,Healthcare,Healthcare -> Industrial Bio,Artificial Intelligence|Synthetic Biology|Biotech|Compliance|Security
Twine,ai revenue engine for service businesses,B2B,B2B -> Sales,Artificial Intelligence|Sales|Sales Enablement|Marketing|SMB
Twitch,A global community creating the future of live entertainment.,Consumer,Consumer -> Content,Community|Gaming|Social Media|Video|Social Network
Two Dots,AI fraud prevention and underwriting agent,Fintech,Fintech -> Consumer Finance,Artificial Intelligence|Fintech|Real Estate|B2B|ML
Twolabs,Humanoid robot platform for builders.,Industrials,Industrials -> Manufacturing and Robotics,Artificial Intelligence|Robotics
twoplus fertility,An effective home-use fertility treatment for natural conception,Healthcare,Healthcare -> Consumer Health and Wellness,Fertility Tech|Medical Devices|Telemedicine
TYBR Health,Natural hydrogel to keep internal organs scar-free after surgery,Healthcare,Healthcare -> Medical Devices,B2B|Medical Devices
Tydo,Turn your data into intelligence,B2B,B2B -> Analytics,Fintech|SaaS|E-commerce
TyltGO,TyltGO powers retailers with same-day delivery.,B2B,B2B -> Supply Chain and Logistics,SaaS|B2B|Delivery
Typa,The content engine that wins attention and drives growth.,B2B,B2B -> Marketing,Artificial Intelligence|Generative AI|Social Media|Marketing
Type,AI-native storytelling studio.,Consumer,Consumer,Artificial Intelligence|SaaS|Consumer|Productivity
Typedream,Build & launch your website in minutes with AI,Consumer,Consumer -> Content,Generative AI|SaaS|Design Tools
TypeLess,"AI messaging API for smarter, faster communication.",B2B,B2B,Generative AI|Machine Learning|Messaging|API|AI
Typewise,Boosting customer service and sales productivity by 2-3x.,B2B,B2B -> Productivity,Artificial Intelligence|B2B|Productivity|API
Uberduck,"Fast, professional content creation with AI audio, image, and video.",B2B,B2B -> Marketing,
Ubicloud,Open source alternative to AWS,B2B,B2B -> Infrastructure,Cloud Computing|Infrastructure|AI|Databases
Ubiq,Screen-sharing for enterprise conference rooms,B2B,B2B -> Productivity,Team Collaboration|Video|Enterprise
UBITS,Learning Hub for companies in Latam,B2B,B2B -> Human Resources,Education|SaaS|eLearning|B2B
Udhaar App,We're Khatabook / OkCredit for Pakistan,Fintech,Fintech -> Payments,Fintech
Uiflow,No-code platform for enterprise software companies,B2B,"B2B -> Engineering, Product and Design",Developer Tools|SaaS|B2B
Ukama,Empowering anyone to build cellular network,B2B,B2B,Hard Tech|Hardware|SaaS|Open Source
Ultra,"Practical, general-purpose robots for repetitive industrial tasks",Industrials,Industrials -> Manufacturing and Robotics,Robotics|Logistics|AI|Industrial
Ultralight,"Universal, Pure-GPU HTML Renderer",B2B,"B2B -> Engineering, Product and Design",Developer Tools|Hard Tech|B2B|Gaming|API
Ultrasonium,"Manufacturing the metal parts the world runs on faster, cheaper, safer",Industrials,Industrials -> Manufacturing and Robotics,Hard Tech|Hardware|Robotics|Manufacturing
Unbabel,AI-powered Language Operations platform,B2B,B2B -> Operations,
Unbound,Use AI tools without fear of data leakage,B2B,B2B -> Security,Artificial Intelligence|Privacy|Cybersecurity|Data Labeling
Uncommon Therapeutics,"A Disease Focused Biotech, Building Multiple Billion Dollar Drugs",Healthcare,Healthcare -> Therapeutics,Gene Therapy|CRISPR|Biotechnology
Underground Cellar,Upgrading Your Wine Experience,Consumer,Consumer -> Food and Beverage,Marketplace|E-commerce|Food & Beverage
Undermind,An AI agent for scientific research,B2B,B2B,Machine Learning|Biotech|Search|AI
Understood Care,Healthcare personal assistants for Medicare patients.,Healthcare,Healthcare,Health Tech|Healthcare|Health Insurance|AI|AI Assistant
Understudy Labs,Self-optimizing neocloud that cuts LLM bills by 80%,B2B,B2B -> Infrastructure,Artificial Intelligence|Open Source|AI|ML
Unflow,The next generation CMS built for mobile apps,B2B,"B2B -> Engineering, Product and Design",Developer Tools|SaaS|B2B|Design Tools
Unfurl,A virtual food hall that delivers,Consumer,Consumer -> Food and Beverage,Delivery|Food Tech
Unhaze,The right leads at the right time for B2B sales,B2B,B2B -> Sales,SaaS|B2B|Sales|AI
Unifold,Multi-chain deposit and payment infrastructure,Fintech,Fintech -> Payments,
Unify,AI teammates for everyone else 🤖,B2B,B2B -> Productivity,Artificial Intelligence|Productivity|Open Source|AI|AI Assistant
Unima,Fast and low-cost diagnostics for real time disease surveillance,Healthcare,Healthcare -> Diagnostics,Health Tech|Biotech|Diagnostics
UNISON,"Live between worlds, in UNISON, using the headset we're building!",Consumer,Consumer -> Virtual and Augmented Reality,Hardware|Virtual Reality|Consumer|Gaming
Unisson,AI agents that automate B2B software implementation,B2B,B2B -> Productivity,
Units,Units builds full-stack AI education infrastructure.,Education,Education,Education|Consumer|AI
Univerbal,Language learning with a conversational AI Tutor,Education,Education,
Universe,Design and build any kind of website. On your iPhone or iPad.,Consumer,Consumer -> Content,Design Tools
Unlayer,AI-powered content creation infrastructure for apps,B2B,B2B -> Productivity,Artificial Intelligence|Developer Tools|SaaS|Design Tools|AI Assistant
Uno Wallet,The AI mobile wallet that replaces Apple Pay,Fintech,Fintech -> Payments,Artificial Intelligence|Fintech|Payments|Consumer|Infrastructure
Unsaddl,education benefits and leave of absence management,B2B,B2B -> Human Resources,SaaS|Human Resources|B2B
Unschool,"Learn, Intern and become Industry-Ready",Education,Education,Education|eLearning
Unsiloed AI,API for parsing multimodal unstructured data,B2B,B2B,Artificial Intelligence|B2B|Infrastructure|APIs
Unsloth AI,Open-Source Reinforcement Learning (RL) & Fine-tuning for LLMs.,B2B,"B2B -> Engineering, Product and Design",Developer Tools|Generative AI|Open Source|Infrastructure|AI
Unstatiq,Single source of truth for your clinic's finances and supply chain.,B2B,B2B -> Operations,Health Tech|Finance|B2B|Supply Chain
unSurvey,"AI-led market research interviews, no scheduling, instant insights.",B2B,"B2B -> Engineering, Product and Design",B2B|Feedback|Market Research|AI
Untether Labs,Scheduling software for digital health clinics to do more with less.,Healthcare,Healthcare,
Unthread,Automate support ops natively in Slack,B2B,B2B -> Productivity,Artificial Intelligence|SaaS|B2B|Customer Support
Unusual,Market to AI agents,B2B,B2B -> Marketing,Sales|Marketing|AI
Unwind Me,Homejoy for massage,Consumer,Consumer -> Home and Personal,Health & Wellness
UpBanx,Brex for D2C Brands and Content Creators in Indonesia,Fintech,Fintech,Fintech|Marketplace|Crypto / Web3|Creator Economy
Upbeat,Upbeat: Building the next generation of Public Relations (PR),Consumer,Consumer -> Content,Media
Upcall,Upcall provides outbound call professionals as a service.,B2B,B2B -> Sales,
UPchieve,"Connecting low-income HS students with free, 24/7 online tutoring",Education,Education,Education|Nonprofit
UpCodes,"AI platform for unifying codes, assemblies, products, and specs",Real Estate and Construction,Real Estate and Construction -> Construction,GovTech|Construction|B2B
UpEquity,UpEquity gives homebuyers more certainty and power.,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Fintech|Real Estate
Upflow,Cash collection tech for B2B businesses,Fintech,Fintech -> Payments,Fintech|SaaS
Upfort,Turnkey security & hassle-free cyber insurance from leading insurers,B2B,B2B -> Security,Next-gen Network Security|Security|Insurance|Cyber Insurance
Upfront,A personal assistant for every homeowner,Consumer,Consumer -> Home and Personal,Marketplace|Consumer|Home Services|AI Assistant
Upgraded,Upgraded helps retailers and carriers sell devices on subscription.,Consumer,Consumer -> Consumer Electronics,Fintech|Retail
UpKeep,Mobile-first software for maintenance teams.,B2B,B2B -> Office Management,SaaS|IoT|B2B
Uplane,Replace marketing agencies with AI,B2B,B2B -> Marketing,Artificial Intelligence|SaaS|B2B|Analytics|Advertising
Uplift AI,Foundational Voice Models for regional languages,B2B,B2B,Speech Recognition|Conversational AI
UpLink,"Document Collection Software for Accountants, Auditors, and Lawyers",B2B,B2B -> Productivity,Documents|SaaS|B2B|Productivity|Collaboration
Upsolve AI,Deploy trustworthy data agent that know your business,B2B,B2B -> Analytics,Developer Tools|B2B|Analytics|Big Data|AI
Upstream,The first inbox designed for humans and agents,B2B,B2B -> Productivity,
Upwave,Marketing analytics for the world's biggest brand marketers,B2B,B2B -> Operations,
UrbanKisaan,Foundation models and autonomous chambers for plant biology,Industrials,Industrials -> Agriculture,Biotech|Agriculture|AI|Sustainable Agriculture|Biotechnology
User Hero,A hub for all your user research.,B2B,"B2B -> Engineering, Product and Design",SaaS|B2B|Design Tools
Userfox,User retention as a service. Drip email,B2B,B2B -> Marketing,SaaS|Marketing
UserGems,The AI Command Center for outbound and ABM,B2B,B2B -> Sales,B2B|Sales
Userlens,Agents that renew and expand six and seven-figure enterprise software,B2B,B2B -> Productivity,
Usul,AI Platform for Winning Defense & Government Contracts,Other,Government,Artificial Intelligence|Generative AI|GovTech
UtilityScore (formerly Pando),API that estimates utility costs for 100M+ homes.,Consumer,Consumer -> Home and Personal,Real Estate|API
Vaero,AI for Human Writing,Consumer,Consumer,Artificial Intelligence|SaaS|Consumer|B2B
Vahan,AI recruiter for India's massive blue-collar workforce,B2B,B2B -> Recruiting and Talent,AI
Valari,Embedded finance platform for LatAm.,Fintech,Fintech,Banking as a Service|Fintech|B2B|API
ValCtrl,ValCtrl is building the only intelligent prediction market,Fintech,Fintech -> Banking and Exchange,
Valence,Unified prediction markets trading platform,Fintech,Fintech -> Consumer Finance,
Valgo,Insurance risk layer for physical AI,B2B,"B2B -> Engineering, Product and Design",
Validere,A carbon MRV solution for energy and hard-to-abate sectors,Industrials,Industrials -> Energy,IoT|Climate|Energy|ClimateTech
Valienta,Helping Dropshippers in Colombia run the business and increase sales,B2B,B2B -> Retail,Fintech|Logistics|Sales|E-commerce|Retail
Valink Therapeutics,Discovering bispecific antibody drug-conjugates (BsADC) against cancer,Healthcare,Healthcare -> Therapeutics,Biotech|Therapeutics|Drug discovery
Valiu,USD mobile banking for LatAm's businesses and people,Fintech,Fintech -> Payments,Fintech|Crypto / Web3
Valo,Cutting edge hydrofoil systems for boatbuilders,Industrials,Industrials -> Climate,Transportation|ClimateTech
ValueMate,Valuemate automates real estate appraisals with AI,B2B,B2B,
VanGo,Uber for Kids,Consumer,Consumer -> Home and Personal,Scheduling|Transportation
Vango AI,Development platform that makes it 10x easier to improve visual models,B2B,"B2B -> Engineering, Product and Design",Developer Tools|Generative AI|Design|Gaming|AI
VantedgeAI,FundOS - AI operations for fund managers,Fintech,Fintech -> Banking and Exchange,Fintech|SaaS|Workflow Automation|Analytics|AI
Vantel,AI Platform for Commercial Insurance Brokerages,Fintech,Fintech -> Insurance,Documents|Insurance|CRM
Vapi,Voice AI for developers.,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence
Vapor,In-video advertising.,Consumer,Consumer -> Social,Video|Advertising
Variance,AI Agents for Fraud Review and Investigations,B2B,B2B -> Security,Artificial Intelligence|Compliance|Cybersecurity|Enterprise Software
Variant,Creative intelligence,B2B,"B2B -> Engineering, Product and Design",Developer Tools|Design Tools|AI
